date,empl,pce,ppce,ipm,ebp_oa,lmret,ffr_eff,lmarket,BBD
1/1/1973,1103.38,811.2983295,325.8134999,364.4846936,0.083786684,-2.783858247,6.5,-2.783858247,
2/1/1973,1103.98,811.9103816,326.3351935,366.142055,0.052134423,-7.322092835,7.5,-7.322092835,
3/1/1973,1104.36,812.0460842,327.0405091,366.2970662,-0.052325484,-8.110287444,7.375,-8.110287444,
4/1/1973,1104.58,811.6551432,327.7936872,366.1490583,-0.105488004,-13.42493586,7.625,-13.42493586,
5/1/1973,1104.82,811.8710648,328.2789151,366.8066119,-0.015975554,-15.90572351,8.125,-15.90572351,
6/1/1973,1105.11,811.6243872,328.855113,366.755772,0.057216148,-16.77421631,8.875,-16.77421631,
7/1/1973,1105.16,812.4203935,329.2163461,367.2318355,-0.36788628,-11.2351128,11.22,-11.2351128,
8/1/1973,1105.50,811.1796081,330.3547801,366.9504466,-0.230568342,-14.24471849,11.22,-14.24471849,
9/1/1973,1105.70,812.6349665,330.7545826,367.8925618,-0.321916632,-8.991416729,10.82,-8.991416729,
10/1/1973,1106.08,811.9508735,331.3167304,368.7289825,0.151506638,-9.034093404,10.61,-9.034093404,
11/1/1973,1106.47,812.1337762,332.1360208,369.4642339,0.044840625,-21.89737159,10.34,-21.89737159,
12/1/1973,1106.61,811.2917376,332.9558155,369.5137725,-0.009325101,-20.76130138,9.83,-20.76130138,
1/1/1974,1106.69,811.250678,333.907372,368.6146853,-0.043364781,-20.32147673,9.31,-20.32147673,
2/1/1974,1106.85,810.6788906,335.0640658,368.2140516,0.177234902,-20.08659828,8.87,-20.08659828,
3/1/1974,1106.89,810.8340351,336.2213974,368.148817,-0.123033278,-22.45085487,9.95,-22.45085487,
4/1/1974,1106.96,811.1586073,336.9259418,367.7684904,0.018774937,-27.15548952,11,-27.15548952,
5/1/1974,1107.17,811.4453366,337.9019937,368.3863163,0.037553643,-31.44430853,11.64,-31.44430853,
6/1/1974,1107.23,811.1994048,338.7470261,368.5342669,0.602297526,-33.76528194,13.31,-33.76528194,
7/1/1974,1107.20,811.5210014,339.4877453,368.3179593,1.093177989,-41.11690559,12.06,-41.11690559,
8/1/1974,1107.12,812.2570096,340.5255802,367.500445,0.654096957,-50.30172533,11.6,-50.30172533,
9/1/1974,1106.96,811.2476803,341.5593262,367.7010399,0.739296591,-61.92346028,11.11,-61.92346028,
10/1/1974,1106.89,810.9675979,342.276316,366.9246011,0.797077497,-46.60116675,9.66,-46.60116675,
11/1/1974,1106.24,809.9028788,343.0270629,363.7884413,0.841187855,-50.79244025,9.47,-50.79244025,
12/1/1974,1105.24,809.6997113,343.8139861,359.0967046,0.948520652,-53.53003064,3.87,-53.53003064,
1/1/1975,1104.57,810.4996477,344.4352652,357.0392774,0.291884217,-40.2869782,6.76,-40.2869782,
2/1/1975,1103.77,811.3630273,344.9797051,354.1327284,0.368796054,-34.61005922,6.07,-34.61005922,
3/1/1975,1103.32,811.1526063,345.3188766,352.8205762,0.512582761,-31.63567974,5.39,-31.63567974,
4/1/1975,1102.95,811.2743568,345.6600552,352.6283865,0.159561792,-27.09087069,7.03,-27.09087069,
5/1/1975,1103.16,813.258016,346.0629135,352.5653379,0.320599483,-21.72354748,5.23,-21.72354748,
6/1/1975,1103.06,813.406573,346.686027,353.437982,0.213032369,-16.70433796,5.97,-16.70433796,
7/1/1975,1103.34,813.8141166,347.540773,355.0068786,0.352295815,-22.93283246,6.23,-22.93283246,
8/1/1975,1103.95,814.0685734,347.9731259,355.8861318,0.268119979,-25.31672062,6.13,-25.31672062,
9/1/1975,1104.14,814.3174423,348.4680319,357.5935056,0.281021146,-29.19184608,6.22,-29.19184608,
